Time	TimeofDay	Shooter Encoder	Shooter Motor 1 Voltage	Shooter Current	
273.707342	1.485312918459E12	0.0	0.494140625	0.0	
273.807804	1.485312918559E12	0.0	0.494140625	0.0	
273.908259	1.48531291866E12	0.0	0.494140625	0.0	
274.00874	1.48531291876E12	0.0	0.494140625	0.0	
274.109281	1.485312918861E12	0.0	0.494140625	0.0	
274.209747	1.485312918961E12	0.0	0.494140625	0.0	
274.310208	1.485312919062E12	0.0	0.494140625	0.0	
274.410675	1.485312919162E12	0.0	0.494140625	0.0	
274.511123	1.485312919263E12	0.0	0.494140625	0.0	
274.610542	1.485312919362E12	0.0	0.494140625	0.0	
274.711111	1.485312919463E12	0.0	0.494140625	0.0	
274.810741	1.485312919562E12	0.0	0.494140625	0.0	
274.911223	1.485312919663E12	0.0	0.494140625	0.0	
275.010699	1.485312919762E12	0.0	0.494140625	0.0	
275.111193	1.485312919863E12	0.0	0.494140625	0.0	
275.210681	1.485312919962E12	0.0	0.494140625	0.0	
275.311177	1.485312920063E12	0.0	0.494140625	0.0	
275.410666	1.485312920162E12	0.0	0.494140625	0.0	
275.511134	1.485312920263E12	0.0	0.494140625	0.0	
275.610625	1.485312920362E12	0.0	0.494140625	0.0	
275.711083	1.485312920463E12	0.0	0.494140625	0.0	
275.810571	1.485312920562E12	0.0	0.494140625	0.0	
275.911022	1.485312920663E12	0.0	0.494140625	0.0	
276.010482	1.485312920762E12	0.0	0.494140625	0.0	
276.11094	1.485312920862E12	0.0	0.494140625	0.0	
276.210388	1.485312920962E12	0.0	0.494140625	0.0	
276.310838	1.485312921062E12	0.0	0.494140625	0.0	
276.410311	1.485312921162E12	0.0	0.494140625	0.0	
276.510781	1.485312921262E12	0.0	0.494140625	0.0	
276.611426	1.485312921363E12	0.0	0.494140625	0.0	
276.711899	1.485312921463E12	0.0	0.494140625	0.0	
276.811433	1.485312921563E12	0.0	0.494140625	0.0	
276.911921	1.485312921663E12	0.0	0.494140625	0.0	
277.011486	1.485312921763E12	0.0	0.494140625	0.0	
277.111963	1.485312921864E12	0.0	0.494140625	0.0	
277.211522	1.485312921963E12	0.0	0.494140625	0.0	
277.312019	1.485312922064E12	0.0	0.494140625	0.0	
277.411592	1.485312922163E12	0.0	0.494140625	0.0	
277.512093	1.485312922264E12	0.0	0.494140625	0.0	
